Question,Option1,Option2,Option3,Option4,Answer
What protects Earth from solar winds?,Magnetosphere,Atmosphere,Ozone Layer,Clouds,Magnetosphere
What is the capital of Australia?,Melbourne,Canberra,Sydney,Brisbane,Canberra
First person on the Moon?,Michael Collins,Yuri Gagarin,Neil Armstrong,Buzz Aldrin,Neil Armstrong
Which is the largest ocean?,Atlantic,Pacific,Indian,Arctic,Pacific
Which is the hottest planet in the solar system?,Neptune,Mercury,Mars,Venus,Venus
First person on the Moon?,Buzz Aldrin,Neil Armstrong,Yuri Gagarin,Michael Collins,Neil Armstrong
Which planet is farthest from the sun?,Saturn,Jupiter,Uranus,Neptune,Neptune
What protects Earth from solar winds?,Clouds,Magnetosphere,Ozone Layer,Atmosphere,Magnetosphere
Which river is the longest in the world?,Yangtze,Nile,Mississippi,Amazon,Nile
Which is the hottest planet in the solar system?,Venus,Neptune,Mercury,Mars,Venus
Which river is the longest in the world?,Nile,Amazon,Mississippi,Yangtze,Nile
First person on the Moon?,Yuri Gagarin,Neil Armstrong,Michael Collins,Buzz Aldrin,Neil Armstrong
Which planet is known as the Red Planet?,Mars,Mercury,Jupiter,Venus,Mars
Which is the largest desert?,Gobi,Sahara,Antarctic,Kalahari,Antarctic
Which planet has the most moons?,Mars,Jupiter,Saturn,Earth,Saturn
What is the capital of Australia?,Canberra,Brisbane,Melbourne,Sydney,Canberra
Which river is the longest in the world?,Yangtze,Nile,Amazon,Mississippi,Nile
What protects Earth from solar winds?,Magnetosphere,Atmosphere,Ozone Layer,Clouds,Magnetosphere
Which is the hottest planet in the solar system?,Venus,Mercury,Mars,Neptune,Venus
What is the capital of Australia?,Brisbane,Melbourne,Canberra,Sydney,Canberra
Where is Mount Everest located?,India,Nepal,China,Bhutan,Nepal
Which planet is farthest from the sun?,Saturn,Uranus,Jupiter,Neptune,Neptune
Where is Mount Everest located?,India,Bhutan,China,Nepal,Nepal
What is the smallest country?,Tuvalu,Vatican City,Nauru,Monaco,Vatican City
Which is the hottest planet in the solar system?,Mars,Venus,Mercury,Neptune,Venus
Which planet is known as the Red Planet?,Venus,Mercury,Mars,Jupiter,Mars
Which galaxy do we live in?,Milky Way,Andromeda,Whirlpool,Sombrero,Milky Way
Which planet is farthest from the sun?,Saturn,Jupiter,Neptune,Uranus,Neptune
Which planet has the most moons?,Earth,Saturn,Mars,Jupiter,Saturn
Which galaxy do we live in?,Milky Way,Sombrero,Whirlpool,Andromeda,Milky Way
Which river is the longest in the world?,Mississippi,Nile,Amazon,Yangtze,Nile
Which is the largest desert?,Sahara,Antarctic,Gobi,Kalahari,Antarctic
Which planet is farthest from the sun?,Saturn,Uranus,Neptune,Jupiter,Neptune
Where is Mount Everest located?,India,Nepal,China,Bhutan,Nepal
Which planet is farthest from the sun?,Neptune,Saturn,Uranus,Jupiter,Neptune
Which is the largest ocean?,Indian,Atlantic,Arctic,Pacific,Pacific
Where is Mount Everest located?,China,Bhutan,India,Nepal,Nepal
Which country has the most islands?,Sweden,Philippines,Indonesia,Finland,Sweden
What is the smallest country?,Monaco,Tuvalu,Vatican City,Nauru,Vatican City
What is the capital of Australia?,Melbourne,Brisbane,Sydney,Canberra,Canberra
First person on the Moon?,Neil Armstrong,Buzz Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong
What protects Earth from solar winds?,Clouds,Atmosphere,Ozone Layer,Magnetosphere,Magnetosphere
Where is Mount Everest located?,China,Nepal,India,Bhutan,Nepal
Which is the largest desert?,Gobi,Kalahari,Antarctic,Sahara,Antarctic
Which galaxy do we live in?,Whirlpool,Milky Way,Sombrero,Andromeda,Milky Way
Which is the largest desert?,Sahara,Gobi,Antarctic,Kalahari,Antarctic
Which country has the most islands?,Finland,Philippines,Sweden,Indonesia,Sweden
Which continent has the most countries?,Asia,Europe,Africa,South America,Africa
What protects Earth from solar winds?,Clouds,Ozone Layer,Magnetosphere,Atmosphere,Magnetosphere
Which is the largest ocean?,Arctic,Pacific,Atlantic,Indian,Pacific
Which is the largest ocean?,Arctic,Pacific,Atlantic,Indian,Pacific
What is the largest planet in our solar system?,Mars,Saturn,Jupiter,Earth,Jupiter
Which is the largest desert?,Sahara,Gobi,Antarctic,Kalahari,Antarctic
Which is the largest ocean?,Arctic,Atlantic,Pacific,Indian,Pacific
Which planet is known as the Red Planet?,Mars,Mercury,Venus,Jupiter,Mars
Which galaxy do we live in?,Andromeda,Milky Way,Whirlpool,Sombrero,Milky Way
What is the smallest country?,Monaco,Tuvalu,Nauru,Vatican City,Vatican City
Which country has the most islands?,Sweden,Finland,Philippines,Indonesia,Sweden
Which is the largest ocean?,Pacific,Arctic,Atlantic,Indian,Pacific
Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Mercury,Mars
Which planet is farthest from the sun?,Jupiter,Saturn,Neptune,Uranus,Neptune
Which planet has the most moons?,Saturn,Mars,Earth,Jupiter,Saturn
Which is the largest desert?,Gobi,Kalahari,Sahara,Antarctic,Antarctic
Which galaxy do we live in?,Milky Way,Andromeda,Sombrero,Whirlpool,Milky Way
What protects Earth from solar winds?,Atmosphere,Ozone Layer,Magnetosphere,Clouds,Magnetosphere
Which river is the longest in the world?,Nile,Amazon,Mississippi,Yangtze,Nile
First person on the Moon?,Yuri Gagarin,Michael Collins,Buzz Aldrin,Neil Armstrong,Neil Armstrong
What is the capital of Australia?,Brisbane,Melbourne,Sydney,Canberra,Canberra
What is the capital of Australia?,Canberra,Brisbane,Melbourne,Sydney,Canberra
What is the largest planet in our solar system?,Mars,Saturn,Jupiter,Earth,Jupiter
Where is Mount Everest located?,Bhutan,Nepal,India,China,Nepal
What protects Earth from solar winds?,Clouds,Atmosphere,Magnetosphere,Ozone Layer,Magnetosphere
What protects Earth from solar winds?,Ozone Layer,Clouds,Atmosphere,Magnetosphere,Magnetosphere
Which continent has the most countries?,Africa,Europe,South America,Asia,Africa
What is the smallest country?,Nauru,Tuvalu,Vatican City,Monaco,Vatican City
Where is Mount Everest located?,Bhutan,India,Nepal,China,Nepal
Which country has the most islands?,Sweden,Philippines,Finland,Indonesia,Sweden
Which planet has the most moons?,Mars,Jupiter,Saturn,Earth,Saturn
Which galaxy do we live in?,Sombrero,Andromeda,Milky Way,Whirlpool,Milky Way
Which planet is farthest from the sun?,Jupiter,Neptune,Uranus,Saturn,Neptune
What is the capital of Australia?,Canberra,Brisbane,Melbourne,Sydney,Canberra
What is the capital of Australia?,Brisbane,Melbourne,Sydney,Canberra,Canberra
What protects Earth from solar winds?,Atmosphere,Ozone Layer,Clouds,Magnetosphere,Magnetosphere
Which is the largest ocean?,Indian,Arctic,Pacific,Atlantic,Pacific
Which continent has the most countries?,Asia,South America,Africa,Europe,Africa
Which galaxy do we live in?,Whirlpool,Sombrero,Milky Way,Andromeda,Milky Way
What is the smallest country?,Monaco,Vatican City,Tuvalu,Nauru,Vatican City
Which is the largest desert?,Sahara,Kalahari,Gobi,Antarctic,Antarctic
What is the largest planet in our solar system?,Earth,Saturn,Mars,Jupiter,Jupiter
Which is the hottest planet in the solar system?,Neptune,Mercury,Venus,Mars,Venus
Where is Mount Everest located?,Nepal,China,India,Bhutan,Nepal
Which country has the most islands?,Indonesia,Finland,Sweden,Philippines,Sweden
What is the smallest country?,Tuvalu,Nauru,Vatican City,Monaco,Vatican City
Which is the largest desert?,Antarctic,Kalahari,Sahara,Gobi,Antarctic
Which is the largest desert?,Antarctic,Kalahari,Gobi,Sahara,Antarctic
What is the smallest country?,Tuvalu,Monaco,Nauru,Vatican City,Vatican City
What protects Earth from solar winds?,Clouds,Atmosphere,Ozone Layer,Magnetosphere,Magnetosphere
Which is the hottest planet in the solar system?,Mars,Neptune,Venus,Mercury,Venus
Which is the largest desert?,Kalahari,Antarctic,Gobi,Sahara,Antarctic
Which galaxy do we live in?,Sombrero,Milky Way,Andromeda,Whirlpool,Milky Way
What is the largest planet in our solar system?,Saturn,Jupiter,Mars,Earth,Jupiter
Which planet is known as the Red Planet?,Jupiter,Venus,Mars,Mercury,Mars
Which planet has the most moons?,Earth,Mars,Saturn,Jupiter,Saturn
First person on the Moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Michael Collins,Neil Armstrong
Which river is the longest in the world?,Amazon,Mississippi,Yangtze,Nile,Nile
Which planet has the most moons?,Earth,Saturn,Jupiter,Mars,Saturn
Which planet is farthest from the sun?,Neptune,Uranus,Saturn,Jupiter,Neptune
Which is the hottest planet in the solar system?,Mars,Neptune,Venus,Mercury,Venus
Which planet has the most moons?,Jupiter,Earth,Saturn,Mars,Saturn
Where is Mount Everest located?,China,India,Nepal,Bhutan,Nepal
Which river is the longest in the world?,Amazon,Nile,Yangtze,Mississippi,Nile
What is the largest planet in our solar system?,Jupiter,Mars,Earth,Saturn,Jupiter
What protects Earth from solar winds?,Clouds,Atmosphere,Magnetosphere,Ozone Layer,Magnetosphere
Which is the hottest planet in the solar system?,Mercury,Venus,Neptune,Mars,Venus
Which river is the longest in the world?,Nile,Mississippi,Amazon,Yangtze,Nile
Which planet is known as the Red Planet?,Mercury,Mars,Venus,Jupiter,Mars
Which is the largest ocean?,Atlantic,Arctic,Pacific,Indian,Pacific
Where is Mount Everest located?,India,Bhutan,China,Nepal,Nepal
Which continent has the most countries?,Europe,Africa,South America,Asia,Africa
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,Mars
Which is the largest desert?,Antarctic,Gobi,Sahara,Kalahari,Antarctic
Which is the largest desert?,Kalahari,Sahara,Gobi,Antarctic,Antarctic
Which country has the most islands?,Finland,Philippines,Sweden,Indonesia,Sweden
Which planet is known as the Red Planet?,Venus,Mercury,Jupiter,Mars,Mars
Which continent has the most countries?,Africa,Asia,South America,Europe,Africa
What is the capital of Australia?,Melbourne,Sydney,Canberra,Brisbane,Canberra
Which planet is farthest from the sun?,Jupiter,Neptune,Uranus,Saturn,Neptune
Which planet has the most moons?,Earth,Jupiter,Saturn,Mars,Saturn
What is the smallest country?,Nauru,Monaco,Vatican City,Tuvalu,Vatican City
Which planet has the most moons?,Jupiter,Mars,Earth,Saturn,Saturn
Which is the largest ocean?,Indian,Arctic,Pacific,Atlantic,Pacific
Which is the largest ocean?,Indian,Pacific,Atlantic,Arctic,Pacific
First person on the Moon?,Neil Armstrong,Michael Collins,Buzz Aldrin,Yuri Gagarin,Neil Armstrong
Which planet has the most moons?,Saturn,Jupiter,Mars,Earth,Saturn
Which is the hottest planet in the solar system?,Venus,Neptune,Mars,Mercury,Venus
Which planet is known as the Red Planet?,Jupiter,Venus,Mercury,Mars,Mars
Which is the largest desert?,Kalahari,Antarctic,Sahara,Gobi,Antarctic
First person on the Moon?,Yuri Gagarin,Michael Collins,Neil Armstrong,Buzz Aldrin,Neil Armstrong
Which country has the most islands?,Finland,Sweden,Philippines,Indonesia,Sweden
Which country has the most islands?,Sweden,Finland,Philippines,Indonesia,Sweden
Which planet is known as the Red Planet?,Mars,Jupiter,Venus,Mercury,Mars
What is the largest planet in our solar system?,Earth,Saturn,Mars,Jupiter,Jupiter
Which is the largest ocean?,Atlantic,Arctic,Pacific,Indian,Pacific
Which planet has the most moons?,Saturn,Jupiter,Mars,Earth,Saturn
Which planet is farthest from the sun?,Neptune,Uranus,Saturn,Jupiter,Neptune
What is the capital of Australia?,Melbourne,Canberra,Brisbane,Sydney,Canberra
First person on the Moon?,Yuri Gagarin,Neil Armstrong,Michael Collins,Buzz Aldrin,Neil Armstrong
Which galaxy do we live in?,Milky Way,Whirlpool,Andromeda,Sombrero,Milky Way
Which river is the longest in the world?,Mississippi,Yangtze,Amazon,Nile,Nile
Which continent has the most countries?,South America,Asia,Europe,Africa,Africa
First person on the Moon?,Buzz Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong,Neil Armstrong
What is the capital of Australia?,Brisbane,Canberra,Melbourne,Sydney,Canberra
Where is Mount Everest located?,China,Bhutan,India,Nepal,Nepal
Which planet is known as the Red Planet?,Venus,Jupiter,Mercury,Mars,Mars
Where is Mount Everest located?,India,China,Nepal,Bhutan,Nepal
Which is the largest ocean?,Arctic,Indian,Atlantic,Pacific,Pacific
First person on the Moon?,Yuri Gagarin,Neil Armstrong,Buzz Aldrin,Michael Collins,Neil Armstrong
Which planet is known as the Red Planet?,Jupiter,Mars,Venus,Mercury,Mars
Which country has the most islands?,Philippines,Finland,Indonesia,Sweden,Sweden
What is the capital of Australia?,Brisbane,Canberra,Sydney,Melbourne,Canberra
Which country has the most islands?,Sweden,Finland,Philippines,Indonesia,Sweden
What is the smallest country?,Tuvalu,Vatican City,Nauru,Monaco,Vatican City
Which is the largest ocean?,Atlantic,Pacific,Arctic,Indian,Pacific
What is the capital of Australia?,Brisbane,Melbourne,Sydney,Canberra,Canberra
Which planet is farthest from the sun?,Saturn,Jupiter,Neptune,Uranus,Neptune
Which river is the longest in the world?,Amazon,Yangtze,Mississippi,Nile,Nile
Which is the hottest planet in the solar system?,Mercury,Mars,Neptune,Venus,Venus
What is the smallest country?,Tuvalu,Vatican City,Nauru,Monaco,Vatican City
Which planet is known as the Red Planet?,Mercury,Venus,Mars,Jupiter,Mars
Which river is the longest in the world?,Nile,Mississippi,Amazon,Yangtze,Nile
Which river is the longest in the world?,Amazon,Mississippi,Nile,Yangtze,Nile
Which is the largest desert?,Sahara,Antarctic,Gobi,Kalahari,Antarctic
Which is the hottest planet in the solar system?,Neptune,Mars,Venus,Mercury,Venus
Which is the largest desert?,Antarctic,Sahara,Kalahari,Gobi,Antarctic
Which continent has the most countries?,Asia,Africa,Europe,South America,Africa
Which river is the longest in the world?,Mississippi,Amazon,Yangtze,Nile,Nile
Which is the hottest planet in the solar system?,Mars,Mercury,Venus,Neptune,Venus
What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,Canberra
Which country has the most islands?,Finland,Indonesia,Philippines,Sweden,Sweden
Which is the hottest planet in the solar system?,Neptune,Venus,Mercury,Mars,Venus
Which continent has the most countries?,Asia,Europe,South America,Africa,Africa
Which planet has the most moons?,Mars,Saturn,Earth,Jupiter,Saturn
Which is the hottest planet in the solar system?,Venus,Neptune,Mars,Mercury,Venus
Which planet is farthest from the sun?,Neptune,Saturn,Uranus,Jupiter,Neptune
Which galaxy do we live in?,Andromeda,Milky Way,Sombrero,Whirlpool,Milky Way
Which planet is farthest from the sun?,Saturn,Jupiter,Neptune,Uranus,Neptune
Which is the largest desert?,Kalahari,Gobi,Sahara,Antarctic,Antarctic
Which is the hottest planet in the solar system?,Neptune,Mars,Mercury,Venus,Venus
Which planet is farthest from the sun?,Jupiter,Neptune,Saturn,Uranus,Neptune
Which country has the most islands?,Finland,Sweden,Indonesia,Philippines,Sweden
Which country has the most islands?,Sweden,Finland,Indonesia,Philippines,Sweden
What is the capital of Australia?,Canberra,Brisbane,Melbourne,Sydney,Canberra
Which is the largest ocean?,Atlantic,Pacific,Indian,Arctic,Pacific
Where is Mount Everest located?,China,India,Bhutan,Nepal,Nepal
Which planet has the most moons?,Jupiter,Earth,Mars,Saturn,Saturn
Which country has the most islands?,Sweden,Philippines,Finland,Indonesia,Sweden
Which is the hottest planet in the solar system?,Neptune,Mercury,Mars,Venus,Venus
Where is Mount Everest located?,China,Nepal,Bhutan,India,Nepal
Which river is the longest in the world?,Amazon,Yangtze,Nile,Mississippi,Nile
Which is the largest desert?,Sahara,Antarctic,Kalahari,Gobi,Antarctic
Which river is the longest in the world?,Amazon,Nile,Yangtze,Mississippi,Nile
Which is the hottest planet in the solar system?,Venus,Mercury,Neptune,Mars,Venus
Where is Mount Everest located?,Bhutan,India,China,Nepal,Nepal
First person on the Moon?,Buzz Aldrin,Neil Armstrong,Michael Collins,Yuri Gagarin,Neil Armstrong
Which is the largest desert?,Gobi,Sahara,Kalahari,Antarctic,Antarctic
First person on the Moon?,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Michael Collins,Neil Armstrong
Which continent has the most countries?,South America,Asia,Europe,Africa,Africa
What is the capital of Australia?,Brisbane,Melbourne,Canberra,Sydney,Canberra
Where is Mount Everest located?,Nepal,China,India,Bhutan,Nepal
Which galaxy do we live in?,Sombrero,Milky Way,Whirlpool,Andromeda,Milky Way
Which is the largest ocean?,Indian,Arctic,Atlantic,Pacific,Pacific
Which continent has the most countries?,Europe,South America,Asia,Africa,Africa
What protects Earth from solar winds?,Atmosphere,Clouds,Magnetosphere,Ozone Layer,Magnetosphere
What is the largest planet in our solar system?,Saturn,Jupiter,Earth,Mars,Jupiter
Which planet is known as the Red Planet?,Jupiter,Mercury,Mars,Venus,Mars
Which is the hottest planet in the solar system?,Neptune,Mars,Mercury,Venus,Venus
Which planet has the most moons?,Earth,Jupiter,Mars,Saturn,Saturn
What is the largest planet in our solar system?,Saturn,Mars,Jupiter,Earth,Jupiter
What protects Earth from solar winds?,Atmosphere,Magnetosphere,Clouds,Ozone Layer,Magnetosphere
